E (cm\S-1\N),DoS(v),DoS(v)[Solid],DoS(v)[Diff]
2428.35,9.94725,9.89783,0.0494215
2429.68,9.94704,9.89768,0.0493675
2431.02,9.9472,9.89788,0.0493136
2432.35,9.94697,9.89771,0.0492598
2433.68,9.94742,9.89821,0.0492061
2435.02,9.94717,9.89802,0.0491524
2436.35,9.94704,9.89795,0.0490989
2437.69,9.94678,9.89773,0.0490454
2439.02,9.94699,9.898,0.048992
2440.35,9.94697,9.89803,0.0489387
2441.69,9.9464,9.89752,0.0488855
2443.02,9.94659,9.89776,0.0488324
2444.36,9.94732,9.89854,0.0487794
2445.69,9.94653,9.8978,0.0487265
2447.03,9.94638,9.8977,0.0486736
2448.36,9.94688,9.89826,0.0486208
2449.69,9.94604,9.89748,0.0485682
2451.03,9.94641,9.89789,0.0485156
2452.36,9.94646,9.898,0.048463
2453.7,9.94645,9.89804,0.0484106
2455.03,9.94682,9.89846,0.0483583
2456.37,9.94641,9.8981,0.048306
2457.7,9.94645,9.8982,0.0482538
2459.03,9.94645,9.89825,0.0482017
2460.37,9.94596,9.89781,0.0481497
2461.7,9.94672,9.89862,0.0480978
2463.04,9.94635,9.89831,0.048046
2464.37,9.94599,9.898,0.0479942
2465.71,9.94618,9.89823,0.0479426
2467.04,9.94631,9.89842,0.047891
2468.37,9.94631,9.89847,0.0478395
2469.71,9.94647,9.89869,0.047788
2471.04,9.94665,9.89891,0.0477367
2472.38,9.94656,9.89888,0.0476855
2473.71,9.94655,9.89891,0.0476343
2475.05,9.9464,9.89882,0.0475832
2476.38,9.94631,9.89877,0.0475322
2477.71,9.94638,9.8989,0.0474812
2479.05,9.94717,9.89974,0.0474304
2480.38,9.94678,9.8994,0.0473796
2481.72,9.94649,9.89916,0.047329
2483.05,9.94693,9.89965,0.0472784
2484.39,9.94641,9.89918,0.0472278
2485.72,9.94672,9.89955,0.0471774
2487.05,9.94649,9.89936,0.047127
2488.39,9.94715,9.90007,0.0470767
2489.72,9.94722,9.90019,0.0470266
2491.06,9.94702,9.90005,0.0469764
2492.39,9.94706,9.90014,0.0469264
2493.73,9.94732,9.90045,0.0468764
2495.06,9.94698,9.90016,0.0468266
2496.39,9.94662,9.89985,0.0467768
2497.73,9.94733,9.90061,0.046727
