Time (ns),System after lsq fit to System
0.0054950,0.4484541
0.0055000,0.4546039
0.0055050,0.4546341
0.0055100,0.4546680
0.0055150,0.4547037
0.0055200,0.4547413
0.0055250,0.4547825
0.0055300,0.4548282
0.0055350,0.4548771
0.0055400,0.4549261
0.0055450,0.4549709
0.0055500,0.4550098
0.0055550,0.4550430
0.0055600,0.4550720
0.0055650,0.4550978
0.0055700,0.4551198
0.0055750,0.4551363
0.0055800,0.4551477
0.0055850,0.4551557
0.0055900,0.4551621
0.0055950,0.4551673
0.0056000,0.4741515
0.0056050,0.4741456
0.0056100,0.4741416
0.0056150,0.4741418
0.0056200,0.4741491
0.0056250,0.4741654
0.0056300,0.4741910
0.0056350,0.4742254
0.0056400,0.4742684
0.0056450,0.4743192
0.0056500,0.4743758
0.0056550,0.4744350
0.0056600,0.4744934
0.0056650,0.4745497
0.0056700,0.4746061
0.0056750,0.4746659
0.0056800,0.4747299
0.0056850,0.4747951
0.0056900,0.4748562
0.0056950,0.4749076
0.0057000,0.4350072
0.0057050,0.4350053
0.0057100,0.4350117
0.0057150,0.4350249
0.0057200,0.4350409
0.0057250,0.4350558
0.0057300,0.4350675
0.0057350,0.4350755
0.0057400,0.4350809
0.0057450,0.4350868
0.0057500,0.4350957
0.0057550,0.4351102
0.0057600,0.4351305
0.0057650,0.4351534
0.0057700,0.4351741
0.0057750,0.4351881
0.0057800,0.4351948
